"stm32f437vitx","stm32f437vi"
"stm32f437zgtx","stm32f437zg"
"stm32f437zitx","stm32f437zi"
"stm32f439aihx","stm32f439ai"
"stm32f439bgtx","stm32f439bg"
"stm32f439bitx","stm32f439bi"
"stm32f439ighx","stm32f439ig"
"stm32f439igtx","stm32f439ig"
"stm32f439iihx","stm32f439ii"
"stm32f439iitx","stm32f439ii"
"stm32f439nghx","stm32f439ng"
"stm32f439nihx","stm32f439ni"
"stm32f439vgtx","stm32f439vg"
"stm32f439vitx","stm32f439vi"
"stm32f439zgtx","stm32f439zg"
"stm32f439zgyx","stm32f439zg"
"stm32f439zitx","stm32f439zi"
"stm32f439ziyx","stm32f439zi"
"stm32f446mcyx","stm32f446mc"
"stm32f446meyx","stm32f446me"
"stm32f446rctx","stm32f446rc"
"stm32f446retx","stm32f446re"
"stm32f446vctx","stm32f446vc"
"stm32f446vetx","stm32f446ve"
"stm32f446zchx","stm32f446zc"
"stm32f446zcjx","stm32f446zc"
"stm32f446zctx","stm32f446zc"
"stm32f446zehx","stm32f446ze"
"stm32f446zejx","stm32f446ze"
"stm32f446zetx","stm32f446ze"
"stm32f469aehx","stm32f469ae"
"stm32f469aeyx","stm32f469ae"
"stm32f469aghx","stm32f469ag"
"stm32f469agyx","stm32f469ag"
"stm32f469aihx","stm32f469ai"
"stm32f469aiyx","stm32f469ai"
"stm32f469betx","stm32f469be"
"stm32f469bgtx","stm32f469bg"
"stm32f469bitx","stm32f469bi"
"stm32f469ietx","stm32f469ie"
"stm32f469iehx","stm32f469ie"
"stm32f469igtx","stm32f469ig"
"stm32f469ighx","stm32f469ig"
"stm32f469iihx","stm32f469ii"
"stm32f469iitx","stm32f469ii"
"stm32f469nehx","stm32f469ne"
"stm32f469nghx","stm32f469ng"
"stm32f469nihx","stm32f469ni"
"stm32f469vetx","stm32f469ve"
"stm32f469vgtx","stm32f469vg"
"stm32f469vitx","stm32f469vi"
"stm32f469zetx","stm32f469ze"
"stm32f469zgtx","stm32f469zg"
"stm32f469zitx","stm32f469zi"
"stm32f479aghx","stm32f479ag"
"stm32f479agyx","stm32f479ag"
"stm32f479aihx","stm32f479ai"
"stm32f479aiyx","stm32f479ai"
"stm32f479bgtx","stm32f479bg"
"stm32f479bitx","stm32f479bi"
"stm32f479ighx","stm32f479ig"
"stm32f479igtx","stm32f479ig"
"stm32f479iihx","stm32f479ii"
"stm32f479iitx","stm32f479ii"
"stm32f479nghx","stm32f479ng"
"stm32f479nihx","stm32f479ni"
"stm32f479vgtx","stm32f479vg"
"stm32f479vitx","stm32f479vi"
"stm32f479zgtx","stm32f479zg"
"stm32f479zitx","stm32f479zi"
"stm32f722ickx","stm32f722ic"
"stm32f722ictx","stm32f722ic"
"stm32f722iekx","stm32f722ie"
"stm32f722ietx","stm32f722ie"
"stm32f722rctx","stm32f722rc"
"stm32f722retx","stm32f722re"
"stm32f722vctx","stm32f722vc"
"stm32f722vetx","stm32f722ve"
"stm32f722zctx","stm32f722zc"
"stm32f722zetx","stm32f722ze"
"stm32f723ickx","stm32f723ic"
"stm32f723ictx","stm32f723ic"
"stm32f723iekx","stm32f723ie"
"stm32f723ietx","stm32f723ie"
"stm32f723vctx","stm32f723vc"
"stm32f723vcyx","stm32f723vc"
"stm32f723vetx","stm32f723ve"
"stm32f723veyx","stm32f723ve"
"stm32f723zcix","stm32f723zc"
"stm32f723zctx","stm32f723zc"
"stm32f723zeix","stm32f723ze"
"stm32f723zetx","stm32f723ze"
"stm32f730i8kx","stm32f730i8"
"stm32f730r8tx","stm32f730r8"
"stm32f730v8tx","stm32f730v8"
"stm32f730z8tx","stm32f730z8"
"stm32f732iekx","stm32f732ie"
"stm32f732ietx","stm32f732ie"
"stm32f732retx","stm32f732re"
"stm32f732vetx","stm32f732ve"
"stm32f732zetx","stm32f732ze"
"stm32f733iekx","stm32f733ie"
"stm32f733ietx","stm32f733ie"
"stm32f733vetx","stm32f733ve"
"stm32f733veyx","stm32f733ve"
"stm32f733zeix","stm32f733ze"
"stm32f733zetx","stm32f733ze"
"stm32f745iekx","stm32f745ie"
"stm32f745ietx","stm32f745ie"
"stm32f745igkx","stm32f745ig"
"stm32f745igtx","stm32f745ig"
"stm32f745vehx","stm32f745ve"
"stm32f745vetx","stm32f745ve"
"stm32f745vghx","stm32f745vg"
"stm32f745vgtx","stm32f745vg"
"stm32f745zetx","stm32f745ze"
"stm32f745zgtx","stm32f745zg"
"stm32f746betx","stm32f746be"
"stm32f746bgtx","stm32f746bg"
"stm32f746iekx","stm32f746ie"
"stm32f746ietx","stm32f746ie"
"stm32f746igkx","stm32f746ig"
"stm32f746igtx","stm32f746ig"
"stm32f746nehx","stm32f746ne"
"stm32f746nghx","stm32f746ng"
"stm32f746vehx","stm32f746ve"
"stm32f746vetx","stm32f746ve"
"stm32f746vghx","stm32f746vg"
"stm32f746vgtx","stm32f746vg"
"stm32f746zeyx","stm32f746ze"
"stm32f746zetx","stm32f746ze"
"stm32f746zgyx","stm32f746zg"
"stm32f746zgtx","stm32f746zg"
"stm32f750n8hx","stm32f750n8"
"stm32f750v8tx","stm32f750v8"
"stm32f750z8tx","stm32f750z8"
"stm32f756bgtx","stm32f756bg"
"stm32f756igkx","stm32f756ig"
"stm32f756igtx","stm32f756ig"
"stm32f756nghx","stm32f756ng"
"stm32f756vghx","stm32f756vg"
"stm32f756vgtx","stm32f756vg"
"stm32f756zgtx","stm32f756zg"
"stm32f756zgyx","stm32f756zg"
"stm32f765bgtx","stm32f765bg"
"stm32f765bitx","stm32f765bi"
"stm32f765igkx","stm32f765ig"
"stm32f765igtx","stm32f765ig"
"stm32f765iikx","stm32f765ii"
"stm32f765iitx","stm32f765ii"
"stm32f765nghx","stm32f765ng"
"stm32f765nihx","stm32f765ni"
"stm32f765vghx","stm32f765vg"
"stm32f765vgtx","stm32f765vg"
"stm32f765vihx","stm32f765vi"
"stm32f765vitx","stm32f765vi"
"stm32f765zgtx","stm32f765zg"
"stm32f765zitx","stm32f765zi"
"stm32f767bgtx","stm32f767bg"
"stm32f767bitx","stm32f767bi"
"stm32f767igkx","stm32f767ig"
"stm32f767igtx","stm32f767ig"
"stm32f767iikx","stm32f767ii"
"stm32f767iitx","stm32f767ii"
"stm32f767nghx","stm32f767ng"
"stm32f767nihx","stm32f767ni"
"stm32f767vghx","stm32f767vg"
"stm32f767vgtx","stm32f767vg"
"stm32f767vihx","stm32f767vi"
"stm32f767vitx","stm32f767vi"
"stm32f767zgtx","stm32f767zg"
"stm32f767zitx","stm32f767zi"
"stm32f768aiyx","stm32f768ai"
"stm32f769agyx","stm32f769ag"
"stm32f769aiyx","stm32f769ai"
"stm32f769bgtx","stm32f769bg"
"stm32f769bitx","stm32f769bi"
"stm32f769igtx","stm32f769ig"
"stm32f769iitx","stm32f769ii"
"stm32f769nghx","stm32f769ng"
"stm32f769nihx","stm32f769ni"
"stm32f777bitx","stm32f777bi"
"stm32f777iikx","stm32f777ii"
